release_date,game_releases
1997-06-30,1
1997-07-31,0
1997-08-31,0
1997-09-30,0
1997-10-31,0
1997-11-30,0
1997-12-31,0
1998-01-31,0
1998-02-28,0
1998-03-31,0
1998-04-30,0
1998-05-31,0
1998-06-30,0
1998-07-31,0
1998-08-31,0
1998-09-30,0
1998-10-31,0
1998-11-30,1
1998-12-31,0
1999-01-31,0
1999-02-28,0
1999-03-31,0
1999-04-30,1
1999-05-31,0
1999-06-30,0
1999-07-31,0
1999-08-31,0
1999-09-30,0
1999-10-31,0
1999-11-30,1
1999-12-31,0
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-30,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-30,0
2000-10-31,0
2000-11-30,2
2000-12-31,0
2001-01-31,0
2001-02-28,0
2001-03-31,1
2001-04-30,0
2001-05-31,0
2001-06-30,2
2001-07-31,0
2001-08-31,0
2001-09-30,0
2001-10-31,0
2001-11-30,0
2001-12-31,1
2002-01-31,0
2002-02-28,0
2002-03-31,0
2002-04-30,0
2002-05-31,0
2002-06-30,0
2002-07-31,0
2002-08-31,1
2002-09-30,0
2002-10-31,0
2002-11-30,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-31,1
2003-06-30,0
2003-07-31,1
2003-08-31,0
2003-09-30,0
2003-10-31,0
2003-11-30,1
2003-12-31,0
2004-01-31,0
2004-02-29,0
2004-03-31,2
2004-04-30,0
2004-05-31,0
2004-06-30,1
2004-07-31,0
2004-08-31,0
2004-09-30,0
2004-10-31,0
2004-11-30,3
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-30,1
2005-05-31,0
2005-06-30,0
2005-07-31,2
2005-08-31,1
2005-09-30,0
2005-10-31,2
2005-11-30,0
2005-12-31,0
2006-01-31,0
2006-02-28,2
2006-03-31,1
2006-04-30,1
2006-05-31,3
2006-06-30,1
2006-07-31,6
2006-08-31,4
2006-09-30,5
2006-10-31,14
2006-11-30,6
2006-12-31,5
2007-01-31,1
2007-02-28,2
2007-03-31,23
2007-04-30,3
2007-05-31,5
2007-06-30,6
2007-07-31,7
2007-08-31,29
2007-09-30,3
2007-10-31,7
2007-11-30,4
2007-12-31,3
2008-01-31,12
2008-02-29,4
2008-03-31,10
2008-04-30,7
2008-05-31,13
2008-06-30,17
2008-07-31,14
2008-08-31,7
2008-09-30,16
2008-10-31,18
2008-11-30,13
2008-12-31,14
2009-01-31,11
2009-02-28,17
2009-03-31,20
2009-04-30,15
2009-05-31,21
2009-06-30,29
2009-07-31,48
2009-08-31,33
2009-09-30,24
2009-10-31,34
2009-11-30,32
2009-12-31,21
2010-01-31,12
2010-02-28,25
2010-03-31,19
2010-04-30,30
2010-05-31,14
2010-06-30,17
2010-07-31,26
2010-08-31,13
2010-09-30,21
2010-10-31,33
2010-11-30,19
2010-12-31,9
2011-01-31,13
2011-02-28,12
2011-03-31,20
2011-04-30,17
2011-05-31,23
2011-06-30,23
2011-07-31,17
2011-08-31,28
2011-09-30,28
2011-10-31,30
2011-11-30,20
2011-12-31,8
2012-01-31,16
2012-02-29,23
2012-03-31,25
2012-04-30,25
2012-05-31,29
2012-06-30,22
2012-07-31,13
2012-08-31,35
2012-09-30,34
2012-10-31,45
2012-11-30,33
2012-12-31,20
2013-01-31,14
2013-02-28,22
2013-03-31,26
2013-04-30,29
2013-05-31,28
2013-06-30,26
2013-07-31,18
2013-08-31,33
2013-09-30,39
2013-10-31,69
2013-11-30,68
2013-12-31,46
2014-01-31,63
2014-02-28,98
2014-03-31,109
2014-04-30,152
2014-05-31,198
2014-06-30,114
2014-07-31,161
2014-08-31,113
2014-09-30,119
2014-10-31,159
2014-11-30,135
2014-12-31,134
2015-01-31,161
2015-02-28,181
2015-03-31,169
2015-04-30,212
2015-05-31,245
2015-06-30,187
2015-07-31,254
2015-08-31,252
2015-09-30,258
2015-10-31,251
2015-11-30,213
2015-12-31,214
2016-01-31,206
2016-02-29,235
2016-03-31,321
2016-04-30,370
2016-05-31,289
2016-06-30,321
2016-07-31,356
2016-08-31,438
2016-09-30,432
2016-10-31,473
2016-11-30,434
2016-12-31,486
2017-01-31,364
2017-02-28,444
2017-03-31,463
2017-04-30,397
2017-05-31,425
2017-06-30,385
2017-07-31,556
2017-08-31,654
2017-09-30,688
2017-10-31,705
2017-11-30,627
2017-12-31,649
2018-01-31,543
2018-02-28,673
2018-03-31,787
2018-04-30,697
2018-05-31,765
2018-06-30,615
2018-07-31,707
2018-08-31,692
2018-09-30,703
2018-10-31,651
2018-11-30,716
2018-12-31,611
